Case Type,Filing Date,Registration Date,CNR Number,First Hearing Date,Decision Date,Case Status,Nature of Disposal,Under Act,Under Section
621,17/01/2023,9/25/2023,MHPU010064392023,05/08/2023,25/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
622,26/08/2023,11/18/2023,MHPU010135842023,26/07/2023,11/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
623,08/04/2023,8/10/2023,MHPU010074592023,24/11/2023,23/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
624,13/11/2023,4/30/2023,MHPU010112742023,30/11/2023,26/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,140
625,30/05/2023,6/7/2023,MHPU010074592023,24/08/2023,18/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,40
626,08/10/2023,9/30/2023,MHPU010258492022,30/09/2023,12/12/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,151 dar
627,20/12/2023,5/10/2023,MHPU010060312023,24/08/2024,24/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
628,11/04/2023,4/6/2023,MHPU010112742023,10/07/2023,25/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
629,20/04/2023,5/17/2023,MHPU010170062023,11/08/2024,01/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
630,20/06/2023,4/15/2023,MHPU010074592023,12/01/2024,16/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
631,04/05/2023,2/15/2023,MHPU010176002023,20/09/2023,21/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
632,07/08/2023,8/3/2023,MHPU010064392023,25/03/2023,07/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,166
633,25/12/2023,7/3/2023,MHPU010170062023,14/12/2023,12/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
634,03/02/2023,9/10/2023,MHPU010155972023,26/04/2023,02/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
635,24/04/2023,6/4/2023,MHPU010170062023,17/11/2023,27/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,151 dar
636,04/09/2023,7/21/2023,MHPU010135842023,10/02/2024,11/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,151 dar
637,27/07/2023,3/4/2023,MHPU010060312023,16/08/2023,15/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,166
638,17/09/2023,10/17/2023,MHPU010086342023,06/09/2023,06/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,166
639,10/03/2023,8/1/2023,MHPU010064392023,31/01/2023,11/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
640,26/11/2023,5/24/2023,MHPU010135842023,07/08/2023,19/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,40
641,01/09/2023,9/28/2023,MHPU010155972023,05/03/2024,17/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
642,15/01/2023,4/27/2023,MHPU010101462023,29/07/2023,10/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
643,27/02/2023,4/8/2023,MHPU010000532023,13/11/2023,23/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
644,21/10/2023,9/23/2023,MHPU010155972023,28/05/2023,07/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
645,20/01/2023,9/10/2023,MHPU010176002023,09/04/2023,25/12/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,140
646,17/12/2023,6/26/2023,MHPU010101462023,09/01/2024,11/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
647,04/05/2023,3/2/2023,MHPU010155972023,13/12/2023,15/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,40
648,03/06/2023,8/14/2023,MHPU010135842023,29/05/2023,10/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
649,30/04/2023,12/7/2023,MHPU010064392023,19/05/2024,27/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
650,27/08/2023,7/7/2023,MHPU010086342023,22/01/2023,02/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
651,26/11/2023,1/21/2023,MHPU010000532023,22/03/2024,02/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
652,15/03/2023,9/5/2023,MHPU010086342023,01/03/2023,15/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,151 dar
653,09/06/2023,12/7/2023,MHPU010101462023,03/09/2024,17/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
654,14/06/2023,3/10/2023,MHPU010064392023,19/10/2023,25/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,166
655,19/09/2023,5/28/2023,MHPU010043232023,30/07/2024,17/10/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,151 dar
656,04/06/2023,4/16/2023,MHPU010101462023,04/08/2024,30/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
657,20/09/2023,2/14/2023,MHPU010060312023,05/04/2023,21/11/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,140
658,11/01/2023,5/14/2023,MHPU010112742023,10/01/2023,03/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
659,06/05/2023,3/21/2023,MHPU010176002023,22/04/2024,03/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
660,12/05/2023,5/30/2023,MHPU010074592023,17/07/2023,27/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,151 dar
661,22/01/2023,10/14/2023,MHPU010258492022,09/07/2023,18/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,151 dar
662,17/02/2023,8/2/2023,MHPU010170062023,02/06/2024,04/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,166
663,02/10/2023,6/21/2023,MHPU010170062023,02/06/2024,17/12/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,o21
664,28/07/2023,3/8/2023,MHPU010258492022,18/05/2023,03/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
665,25/06/2023,12/30/2023,MHPU010112742023,29/08/2024,21/10/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,40
666,05/12/2023,7/25/2023,MHPU010060312023,25/05/2023,27/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,40
667,24/11/2023,11/28/2023,MHPU010135842023,27/12/2023,11/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
668,05/03/2023,7/29/2023,MHPU010112742023,01/02/2024,07/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,166
669,18/04/2023,5/4/2023,MHPU010135842023,15/06/2024,26/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,166
670,21/02/2023,11/25/2023,MHPU010064392023,31/08/2023,19/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
671,19/05/2023,2/15/2023,MHPU010170062023,25/02/2023,21/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
672,05/08/2023,12/8/2023,MHPU010043232023,10/02/2023,13/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
673,14/04/2023,11/9/2023,MHPU010170062023,22/06/2023,18/12/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,140
674,23/06/2023,6/1/2023,MHPU010170062023,07/04/2023,04/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,140
675,10/06/2023,8/7/2023,MHPU010043232023,29/01/2023,06/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,o21
676,14/10/2023,1/17/2023,MHPU010074592023,02/04/2023,20/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
677,04/09/2023,4/8/2023,MHPU010112742023,07/09/2023,23/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,166
678,13/06/2023,12/7/2023,MHPU010000532023,03/07/2024,24/12/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,166
679,18/12/2023,8/22/2023,MHPU010043232023,09/11/2023,22/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,o21
680,07/01/2023,10/3/2023,MHPU010155972023,21/09/2023,15/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,140
681,24/09/2023,6/2/2023,MHPU010063022023,07/11/2023,27/10/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,151 dar
682,10/04/2023,9/14/2023,MHPU010101462023,05/06/2023,23/10/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,166
683,11/02/2023,10/18/2023,MHPU010074592023,20/02/2024,29/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
684,27/03/2023,12/19/2023,MHPU010060312023,19/01/2023,17/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,166
685,07/08/2023,2/5/2023,MHPU010258492022,23/11/2023,04/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
686,23/03/2023,10/30/2023,MHPU010135842023,22/02/2023,13/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,151 dar
687,05/03/2023,7/14/2023,MHPU010086342023,13/09/2024,24/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,140
688,07/09/2023,2/15/2023,MHPU010064392023,29/06/2023,19/11/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,140
689,12/11/2023,3/16/2023,MHPU010155972023,14/02/2023,21/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
690,17/09/2023,2/9/2023,MHPU010135842023,06/10/2023,04/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
691,29/03/2023,9/3/2023,MHPU010170062023,17/12/2023,27/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,151 dar
692,02/05/2023,2/28/2023,MHPU010043232023,08/07/2024,23/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,166
693,27/02/2023,4/25/2023,MHPU010043232023,28/03/2023,26/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,140
694,05/04/2023,1/30/2023,MHPU010063022023,18/02/2023,27/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
695,17/01/2023,5/3/2023,MHPU010135842023,05/08/2024,30/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,166
696,21/02/2023,10/14/2023,MHPU010101462023,28/02/2023,14/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
697,05/07/2023,2/24/2023,MHPU010043232023,12/07/2024,03/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
698,20/05/2023,9/12/2023,MHPU010000532023,01/09/2024,24/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
699,19/11/2023,10/15/2023,MHPU010176002023,16/10/2023,23/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
700,16/09/2023,10/14/2023,MHPU010258492022,04/01/2023,28/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
701,03/04/2023,9/21/2023,MHPU010176002023,11/01/2023,17/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
702,21/02/2023,8/3/2023,MHPU010043232023,18/08/2023,20/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
703,23/12/2023,11/9/2023,MHPU010043232023,28/02/2024,07/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
704,01/03/2023,11/3/2023,MHPU010060312023,24/04/2023,27/11/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,o21
705,24/05/2023,3/3/2023,MHPU010170062023,22/08/2024,21/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,151 dar
706,18/06/2023,3/9/2023,MHPU010074592023,13/04/2024,15/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
707,18/09/2023,8/11/2023,MHPU010064392023,26/12/2023,13/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
708,25/02/2023,10/9/2023,MHPU010064392023,19/04/2024,07/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
709,06/02/2023,11/1/2023,MHPU010060312023,29/08/2023,29/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
710,26/07/2023,8/22/2023,MHPU010074592023,02/02/2024,24/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
711,05/03/2023,5/4/2023,MHPU010155972023,01/09/2024,03/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
712,26/05/2023,3/21/2023,MHPU010063022023,10/07/2024,14/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,140
713,19/05/2023,9/11/2023,MHPU010258492022,11/02/2024,27/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,o21
714,05/07/2023,5/28/2023,MHPU010258492022,23/10/2023,21/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,151 dar
715,27/12/2023,4/14/2023,MHPU010176002023,19/04/2023,19/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
716,20/02/2023,5/3/2023,MHPU010043232023,29/09/2023,09/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
717,01/10/2023,3/28/2023,MHPU010135842023,02/02/2023,24/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
718,17/12/2023,12/26/2023,MHPU010155972023,31/10/2023,21/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
719,25/06/2023,10/29/2023,MHPU010074592023,17/10/2023,17/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
720,15/12/2023,6/26/2023,MHPU010112742023,10/09/2024,11/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
721,06/08/2023,3/1/2023,MHPU010112742023,28/07/2023,08/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,140
722,03/07/2023,8/16/2023,MHPU010176002023,19/09/2023,22/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
723,14/03/2023,6/7/2023,MHPU010086342023,03/12/2023,12/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
724,08/09/2023,6/22/2023,MHPU010258492022,28/04/2024,17/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
725,21/10/2023,3/25/2023,MHPU010074592023,05/01/2024,27/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,40
726,27/01/2023,6/23/2023,MHPU010000532023,06/03/2023,26/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,140
727,01/05/2023,2/23/2023,MHPU010135842023,21/12/2023,23/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
728,22/05/2023,1/25/2023,MHPU010112742023,12/09/2023,27/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,40
729,15/11/2023,10/15/2023,MHPU010101462023,05/07/2024,23/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
730,27/02/2023,9/30/2023,MHPU010176002023,07/10/2023,08/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,40
731,01/12/2023,5/17/2023,MHPU010135842023,11/06/2023,21/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
732,10/07/2023,3/18/2023,MHPU010170062023,10/10/2023,16/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,40
733,11/07/2023,11/16/2023,MHPU010170062023,29/07/2024,21/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,151 dar
734,11/09/2023,12/14/2023,MHPU010155972023,21/02/2024,27/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,140
735,05/06/2023,12/14/2023,MHPU010258492022,16/10/2023,22/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
736,13/04/2023,1/5/2023,MHPU010135842023,10/05/2024,22/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
737,05/12/2023,7/31/2023,MHPU010086342023,24/10/2023,26/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,166
738,14/06/2023,6/16/2023,MHPU010064392023,08/03/2024,23/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
739,04/08/2023,2/28/2023,MHPU010101462023,14/02/2024,10/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
740,07/11/2023,2/28/2023,MHPU010258492022,03/04/2023,29/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
741,22/10/2023,1/6/2023,MHPU010101462023,16/05/2023,29/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
742,10/01/2023,12/20/2023,MHPU010043232023,04/09/2024,16/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
743,19/07/2023,1/27/2023,MHPU010135842023,10/12/2023,28/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
744,17/02/2023,5/25/2023,MHPU010258492022,27/03/2024,16/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
745,21/04/2023,12/7/2023,MHPU010060312023,15/06/2023,24/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,151 dar
746,15/05/2023,7/6/2023,MHPU010135842023,22/03/2023,20/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
747,27/03/2023,1/25/2023,MHPU010170062023,01/05/2024,15/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
748,28/03/2023,2/15/2023,MHPU010155972023,18/04/2024,04/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,o21
749,14/05/2023,8/1/2023,MHPU010060312023,02/09/2024,24/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
750,22/04/2023,7/20/2023,MHPU010074592023,26/04/2024,17/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
751,19/11/2023,7/24/2023,MHPU010170062023,26/01/2023,20/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
752,20/01/2023,7/10/2023,MHPU010135842023,22/02/2023,30/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
753,16/12/2023,4/1/2023,MHPU010000532023,26/08/2024,21/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
754,06/05/2023,11/21/2023,MHPU010043232023,16/01/2024,12/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,o21
755,11/11/2023,1/18/2023,MHPU010112742023,17/03/2023,14/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
756,18/01/2023,7/14/2023,MHPU010043232023,18/07/2024,20/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
757,26/05/2023,6/7/2023,MHPU010064392023,19/06/2024,06/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,151 dar
758,25/07/2023,7/27/2023,MHPU010074592023,21/08/2023,10/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,140
759,31/07/2023,12/11/2023,MHPU010112742023,18/08/2024,16/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,140
760,07/01/2023,1/16/2023,MHPU010101462023,29/05/2023,09/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,166
761,08/05/2023,11/26/2023,MHPU010112742023,17/01/2023,18/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,140
762,07/06/2023,4/30/2023,MHPU010074592023,14/03/2023,28/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,o21
763,08/11/2023,1/14/2023,MHPU010258492022,20/07/2024,28/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,140
764,26/08/2023,9/2/2023,MHPU010155972023,12/07/2024,25/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
765,02/07/2023,12/30/2023,MHPU010074592023,30/01/2024,18/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
766,15/03/2023,12/11/2023,MHPU010155972023,03/09/2024,29/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,40
767,16/08/2023,12/15/2023,MHPU010258492022,25/11/2023,18/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
768,21/01/2023,6/19/2023,MHPU010074592023,24/04/2023,14/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
769,08/04/2023,2/26/2023,MHPU010112742023,03/06/2024,26/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,40
770,26/03/2023,5/20/2023,MHPU010060312023,30/05/2023,03/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
771,11/01/2023,6/30/2023,MHPU010064392023,02/07/2024,24/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
772,11/04/2023,4/6/2023,MHPU010176002023,14/04/2023,18/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
773,26/09/2023,9/26/2023,MHPU010074592023,05/04/2023,05/12/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,140
774,02/05/2023,4/6/2023,MHPU010086342023,30/09/2023,24/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
775,11/08/2023,9/7/2023,MHPU010155972023,26/07/2023,09/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
776,16/08/2023,4/8/2023,MHPU010135842023,18/12/2023,10/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
777,26/09/2023,5/10/2023,MHPU010043232023,04/07/2023,04/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
